,user,text,favorite_count,retweet_count,created_at
84,elonmusk,"@NaturePortfolio @NaturePhysics Technically true, but Earth’s economy is extremely far from physical limits. 

Energy is the foundation of the economy, but we’re using a very tiny amount of available energy, even if we only used PV.",10235,831,2022-09-16 21:23:35+00:00
85,elonmusk,@GailAlfarATX @Tesla @aelluswamy Beta expanding to safety scores above 80 after 10.69.2.1 goes out,5335,794,2022-09-15 15:55:27+00:00
86,elonmusk,"@GailAlfarATX @Tesla @aelluswamy 10.69.2.1 coming out in a few days with additional polish, 10.69.3 comes out shortly after AI Day",13678,805,2022-09-15 15:50:07+00:00
87,elonmusk,@ilyasut or their short shorts https://t.co/Ek4Xby92ga,36603,1343,2022-09-15 00:23:04+00:00
88,elonmusk,"Salted butter is amazing, but should be stored at room temperature https://t.co/8RSr340JB8",128929,7699,2022-09-14 07:38:04+00:00
89,elonmusk,@corey_aronson @CathieDWood Drop 0.25%,3707,346,2022-09-14 07:28:10+00:00
90,elonmusk,"@CathieDWood Exactly, this is neither subtle nor secret",12912,586,2022-09-14 07:17:09+00:00
91,elonmusk,"@WholeMarsBlog Layers upon layers of neural nets, ever higher",9610,411,2022-09-14 04:05:18+00:00
92,elonmusk,https://t.co/xMoL9wdXh6,290649,20670,2022-09-14 03:57:18+00:00
93,elonmusk,@HuobiGlobal Subtle 🤣,2356,137,2022-09-13 23:46:29+00:00
94,elonmusk,@HuobiGlobal 🤣,1951,92,2022-09-13 23:41:08+00:00
95,elonmusk,"Note, we are working on making the whistle sound much louder",28450,1590,2022-09-13 23:05:40+00:00
96,elonmusk,But u have to pay in Doge,39485,3293,2022-09-13 23:04:03+00:00
97,elonmusk,"Blow the whistle!
https://t.co/RQLDti0ULZ",50165,3729,2022-09-13 23:02:37+00:00
98,elonmusk,@chrissyfarr True,2211,83,2022-09-13 20:53:56+00:00
99,elonmusk,@kimbal Could be worse,2697,99,2022-09-13 20:12:26+00:00
